Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
Autumn Robinson,Male,12/3/1995,University of Kelaniya,3rd,3.71,Kinesthetic,16.2,8,Bachelor's,High,No,1.31,8.39
Faith Cabrera,Male,10/26/1943,Rajarata University,2nd,2.62,Auditory,13.16,6,Other,High,Yes,0.31,9.23
Charles Wolfe,Male,3/9/2007,University of Colombo,1st,3.53,Auditory,9.32,8,Other,Medium,No,1.84,5.01
Kenneth Kent,Male,2/15/2008,University of Kelaniya,1st,3.89,Kinesthetic,21.27,2,Other,Low,No,4.39,4.68
Melanie Johnson,Female,11/4/1929,Eastern University,3rd,2.58,Auditory,19.33,9,Other,Low,Yes,2.32,5.45
Lisa Johnston,Male,3/31/1983,Sabaragamuwa University,1st,3.8,Kinesthetic,7.44,7,Bachelor's,Low,Yes,0.03,4.4
Jacob Hooper,Male,1/24/1982,University of Moratuwa,4th,2.81,Visual,22.8,10,Other,Low,Yes,4.34,5.77
Alex Woodward,Female,8/2/1927,University of Jaffna,1st,2.43,Auditory,13.66,8,High School,Low,No,3.68,8.06
Caleb Clark,Male,8/5/1972,University of Kelaniya,2nd,2.85,Visual,27.22,3,Bachelor's,Medium,No,4.38,4.57
Taylor Johnson,Female,1/8/1963,University of Peradeniya,4th,3.32,Kinesthetic,14.72,6,High School,Medium,Yes,2.84,7.56
Brian Green,Female,10/26/1935,University of Colombo,4th,3.44,Visual,18.01,1,Ph.D.,High,No,4.06,5.34
Matthew Bell,Male,8/8/1990,Rajarata University,3rd,2.77,Visual,25.19,1,Other,High,No,2.73,7.29
Jonathan Williams,Female,10/4/2011,University of Ruhuna,2nd,3.51,Auditory,23.23,7,Ph.D.,Low,No,2.31,4.77
William Gonzalez,Female,11/20/2011,Rajarata University,1st,3.69,Kinesthetic,25.07,10,Master's,Medium,Yes,0.65,6.7
Nicholas Massey,Female,2/29/1920,Rajarata University,4th,2.97,Kinesthetic,6.64,8,Ph.D.,High,No,3.7,5.34
Caroline Chambers,Female,11/3/1951,Sabaragamuwa University,1st,2.11,Visual,28.34,4,Ph.D.,Medium,Yes,1.63,5.67
Amy Lowe,Female,3/31/1918,University of Kelaniya,2nd,2.44,Auditory,26.14,7,Other,Medium,No,2.83,8.93
Gloria King,Male,9/13/1961,Rajarata University,2nd,2.88,Visual,14.6,6,High School,Medium,Yes,1.64,7.64
Jessica Thompson,Female,10/27/1984,Sabaragamuwa University,3rd,2.03,Visual,23.33,9,Bachelor's,Medium,No,3.08,6.01
Jason Carroll,Male,11/22/1989,University of Moratuwa,2nd,3.95,Auditory,6.56,8,Ph.D.,Medium,Yes,4.82,6.37
Emily Howard,Female,8/2/1914,Eastern University,4th,3.77,Auditory,7.59,10,Other,Medium,No,0.95,5.92
Danielle Castro,Male,1/2/1921,University of Moratuwa,1st,2.53,Visual,17.47,5,Ph.D.,Medium,No,1.23,6.62
Patrick Rogers,Female,3/23/1981,University of Kelaniya,2nd,2.25,Visual,18.79,10,Master's,Low,Yes,1.37,5.11
Douglas Allen,Male,9/29/2004,University of Ruhuna,3rd,2.27,Kinesthetic,16.31,3,Other,Low,Yes,3.38,8.69
Heather Roberts,Female,5/13/1978,University of Moratuwa,2nd,3.82,Auditory,12.81,4,Master's,Low,Yes,4.84,6.3
Travis Schultz,Male,10/14/1918,Sabaragamuwa University,3rd,2.85,Visual,28.52,2,High School,Low,Yes,3.74,8.78
Michelle Hughes,Female,5/21/1917,Sabaragamuwa University,4th,3.75,Visual,21.77,6,High School,High,Yes,2.83,6.58
Matthew Smith,Female,3/30/1975,University of Jaffna,1st,2.79,Kinesthetic,7.96,2,Ph.D.,Low,Yes,3.74,5.55
George Allen,Male,1/20/1933,University of Peradeniya,4th,2.75,Kinesthetic,13.17,2,Ph.D.,High,No,3.6,7.49
Jamie Hutchinson,Female,8/14/1994,University of Peradeniya,3rd,3.35,Visual,15.28,1,Ph.D.,Medium,Yes,1.22,7.56
Jennifer Morales,Male,12/9/1942,University of Kelaniya,2nd,3,Auditory,26.99,9,High School,Medium,Yes,4.37,9.23
Jennifer Bates,Female,9/14/2003,University of Jaffna,2nd,3.39,Kinesthetic,15.29,2,Bachelor's,Low,No,3.66,6.55
Jeremy Green,Male,7/15/2012,University of Colombo,2nd,3.07,Auditory,9.46,8,Master's,Low,No,2.72,9.35
Joseph Freeman,Female,6/30/1969,Rajarata University,3rd,2.65,Kinesthetic,11.91,9,Ph.D.,Medium,Yes,1.22,6.26
Nicole Henson,Female,5/27/1989,University of Moratuwa,4th,3.19,Kinesthetic,10.45,4,Ph.D.,High,No,0.98,5.34
Eric Owens PhD,Female,7/10/1996,Rajarata University,1st,2.01,Kinesthetic,28.1,2,Other,Low,No,2.23,4.1
Robin Lopez,Female,8/2/1980,University of Colombo,4th,2.26,Visual,9.51,4,Master's,Low,Yes,2.61,9.08
Miss Angela Swanson DVM,Male,12/3/1982,University of Ruhuna,3rd,3.12,Visual,24.2,6,Other,Low,No,1.02,5.66
Michael Stewart,Male,9/20/1954,University of Jaffna,1st,3.16,Visual,27.69,8,Ph.D.,High,No,3.29,7.97
Mitchell Smith,Male,6/17/2011,Rajarata University,1st,3.25,Visual,23.36,2,Ph.D.,High,Yes,1.63,6.54
Kelsey Davis,Female,6/12/1928,University of Jaffna,3rd,2.1,Kinesthetic,20.95,10,Ph.D.,Low,Yes,2.62,5.27
Matthew Russo,Female,9/1/1926,University of Jaffna,3rd,3.76,Visual,17.32,1,Master's,High,No,1.63,9.56
William Garcia,Female,12/3/1991,Sabaragamuwa University,2nd,3,Visual,23.42,10,Ph.D.,High,No,4.52,7.74
Jennifer Miller,Female,6/1/1932,Eastern University,3rd,2.88,Kinesthetic,13.43,4,Other,Low,Yes,0.81,5.05
Jesse Sparks,Male,3/24/1968,University of Kelaniya,1st,2.28,Auditory,10.82,7,Bachelor's,High,Yes,3.15,7.17
Brandi Meyer,Male,6/18/2012,University of Peradeniya,3rd,2.3,Kinesthetic,17.01,7,Ph.D.,Medium,Yes,4.04,9.99
Hannah Wiggins,Female,5/16/1949,University of Jaffna,2nd,2.12,Visual,14.59,2,Master's,Medium,No,4.67,4.06
Albert Williams,Female,3/23/1993,Rajarata University,3rd,2.66,Visual,14.78,8,Other,Low,Yes,3.01,8.94
Kristin Potts,Male,9/14/2008,Rajarata University,3rd,2.04,Kinesthetic,27.54,7,High School,High,Yes,1.7,7.85
Susan Williams,Male,4/18/1984,University of Moratuwa,4th,3.51,Auditory,15.66,6,Bachelor's,Medium,Yes,3.74,4.33
Meredith Rios,Male,6/4/1918,University of Jaffna,3rd,3.88,Auditory,24.47,9,Other,Medium,No,0.34,8.65
Stephanie Bowman,Female,10/16/1967,Eastern University,4th,2.89,Auditory,10.47,9,Bachelor's,High,Yes,4.77,8.52
Joshua Clark,Male,5/7/2000,University of Kelaniya,4th,2.92,Auditory,8.63,2,Ph.D.,High,No,2.68,8.38
Alexa Hernandez,Male,8/20/2023,University of Kelaniya,2nd,2.3,Kinesthetic,7.41,9,Ph.D.,Medium,Yes,1.62,6.46
Richard Higgins,Female,2/4/1961,University of Ruhuna,4th,3.67,Kinesthetic,20.96,9,Master's,Medium,No,3.08,7.74
Marc Williams,Male,6/2/1914,University of Ruhuna,1st,2.85,Visual,22.92,4,Ph.D.,Low,Yes,0.33,9.87
William Roberts,Female,5/23/1948,University of Moratuwa,1st,3.99,Visual,11.93,8,Other,Medium,No,1.71,9.32
Joshua Carter,Male,11/1/1965,University of Peradeniya,1st,2.78,Auditory,19.04,7,Master's,Low,Yes,2.44,8.11
David Williams,Female,9/14/2015,University of Ruhuna,2nd,2.89,Auditory,7.05,1,Other,Medium,No,2.02,4.43
Joseph Jones,Male,6/15/1915,University of Colombo,1st,2.56,Visual,27,7,Bachelor's,High,No,0.67,4.4
Gary Perry,Female,2/15/2014,University of Moratuwa,4th,2.63,Auditory,17.06,2,Master's,Low,Yes,4.97,8.02
Terry Wells,Female,12/6/1958,University of Kelaniya,2nd,3.72,Kinesthetic,19.45,8,Master's,High,Yes,0.91,8.14
Vanessa Cooper,Male,6/10/1919,University of Kelaniya,2nd,3.39,Auditory,17.68,2,Master's,Low,Yes,0.99,5.49
Michael Simmons,Male,1/30/1995,Eastern University,3rd,3.57,Auditory,27.18,3,Ph.D.,High,Yes,0.19,4.68
Nicholas Kline,Female,12/9/1921,University of Colombo,4th,3.95,Auditory,27.47,6,Ph.D.,Medium,Yes,1.2,5.41
Lori Bennett,Female,6/8/1923,University of Peradeniya,3rd,2.18,Kinesthetic,22.23,6,Bachelor's,High,No,1.47,5.31
Margaret Jones,Female,5/15/1935,Rajarata University,4th,2.65,Kinesthetic,7.53,1,Master's,High,No,0.19,7.28
Paul Brown,Female,5/17/1971,University of Moratuwa,3rd,2.07,Auditory,21.96,8,Master's,High,Yes,4.02,7.29
James Stone,Male,6/28/1984,University of Ruhuna,4th,3.06,Visual,6.66,6,Ph.D.,Medium,No,2.39,5.54
John Richards,Female,9/12/2007,Sabaragamuwa University,3rd,3.58,Kinesthetic,19.86,9,Other,Low,No,1.47,9.99
Jenny Richardson,Female,4/20/1976,Eastern University,4th,2.65,Auditory,17.82,5,Bachelor's,Medium,Yes,0.7,5.68
Debbie Waters MD,Female,11/3/1981,University of Kelaniya,4th,2.54,Kinesthetic,22.26,10,High School,High,Yes,4.56,7.92
Austin Boyer,Female,9/17/1963,Sabaragamuwa University,3rd,2.13,Auditory,17.02,4,High School,Low,Yes,0.22,7.5
Stephanie Hayes,Female,5/23/1966,University of Moratuwa,4th,2.58,Kinesthetic,15.47,10,High School,High,Yes,1.36,6.65
Barbara Sanders,Female,10/18/1984,University of Jaffna,3rd,2.78,Visual,8.53,2,Bachelor's,Medium,No,3.34,8.92
Andrew Gould,Female,3/17/1939,University of Peradeniya,4th,2.14,Kinesthetic,25.73,8,Ph.D.,High,No,4.49,8.13
Charles Gonzalez,Female,3/24/1942,University of Jaffna,4th,3.79,Auditory,26.82,9,Ph.D.,Low,No,3.05,8.09
Joshua Hernandez,Female,2/27/1980,University of Moratuwa,4th,3.58,Visual,18.33,3,Other,Medium,No,3.02,6.02
Victoria Hernandez MD,Female,1/6/1980,University of Jaffna,4th,3.17,Auditory,20.78,7,Bachelor's,High,No,3.1,5.45
Sherry Simpson,Female,10/17/1928,University of Peradeniya,4th,3.92,Auditory,17.78,5,Master's,Low,No,4.52,7.18
Erica Jimenez,Female,8/6/1930,University of Moratuwa,4th,2.29,Kinesthetic,27.9,1,Bachelor's,Medium,Yes,1.35,6.05
Mr. Dakota Lynch II,Male,7/6/1971,Sabaragamuwa University,3rd,2.13,Kinesthetic,17.12,9,Other,Medium,No,2.11,7.45
Victor Nolan,Male,7/19/2004,University of Jaffna,1st,3.21,Kinesthetic,5.69,4,High School,High,No,0.98,4.91
Amanda Hernandez,Male,1/22/1944,University of Peradeniya,2nd,3.7,Kinesthetic,19.81,5,Bachelor's,Low,Yes,3.29,4.13
Richard Kirby,Female,1/28/1928,University of Ruhuna,3rd,2.28,Auditory,5.28,5,Ph.D.,Low,No,2.44,8.75
Michelle Roman,Male,7/10/1913,Rajarata University,1st,2.19,Kinesthetic,9.11,5,Bachelor's,Medium,No,3.01,9.34
Bradley Melton,Male,5/23/1969,University of Peradeniya,4th,2.25,Kinesthetic,10.65,4,Master's,High,Yes,4.41,6.74
Danny Williams,Male,3/12/1969,Eastern University,3rd,2.84,Kinesthetic,20.18,5,Bachelor's,Low,Yes,2.55,4.45
Ryan Rivera,Female,12/17/1978,Rajarata University,1st,2.12,Kinesthetic,5.51,1,High School,Medium,No,4.65,4.85
Charles Douglas,Male,4/18/1971,University of Ruhuna,2nd,3.17,Visual,16.14,3,Master's,Medium,No,3.9,9.2
Kathy Santana,Male,5/1/1984,University of Colombo,2nd,3.01,Kinesthetic,29.83,9,Ph.D.,High,Yes,3.92,8.56
Laura Gregory,Male,10/29/2008,Sabaragamuwa University,3rd,3.72,Visual,8.81,9,Master's,Low,No,0.57,6.7
Norma Mooney,Female,9/21/1944,University of Kelaniya,2nd,3.43,Kinesthetic,17.27,6,Bachelor's,Medium,Yes,4.2,9.56
Susan Harris,Male,3/26/2000,University of Ruhuna,2nd,3.6,Auditory,29.01,6,Master's,High,No,1,8.46
Linda Petersen,Male,3/12/1934,Rajarata University,1st,2.28,Auditory,8.22,10,Bachelor's,High,Yes,2.27,4.1
Dr. James Willis,Female,4/10/1946,Rajarata University,4th,2.05,Auditory,9.75,10,High School,Low,Yes,4.3,4.1
Rebecca Sandoval,Male,3/29/1965,Eastern University,3rd,2.14,Auditory,27.75,2,Ph.D.,Medium,Yes,4.58,5.43
Christopher Hunter,Female,3/3/1968,University of Colombo,3rd,2.87,Auditory,17.24,1,High School,Low,Yes,2.96,5.44
Austin Heath,Female,6/18/1993,University of Kelaniya,2nd,3.08,Kinesthetic,12.89,9,Master's,Low,Yes,2.93,9.57
Elizabeth Russell,Male,11/30/1910,Eastern University,2nd,3.75,Visual,18.51,8,Ph.D.,Low,Yes,0.49,5.87
Amy Davidson,Female,7/19/1993,University of Ruhuna,3rd,3.88,Visual,22.83,8,Bachelor's,Low,No,2.47,9.49
Dustin Greer,Male,5/27/2001,Rajarata University,3rd,2.93,Kinesthetic,7.45,2,Ph.D.,Medium,No,2.83,7.62
Andrew Butler,Male,1/21/1908,University of Ruhuna,2nd,2.49,Visual,15.65,8,Ph.D.,Low,Yes,0.11,8.21
Scott Love DDS,Male,1/31/1973,University of Peradeniya,1st,2.27,Visual,13.6,6,Ph.D.,Medium,Yes,1.66,5.97
William Jenkins,Male,1/24/1910,University of Colombo,3rd,2.65,Visual,14.76,7,Other,Low,Yes,2.9,9.1
Jasmine Williams,Male,12/9/1923,Sabaragamuwa University,4th,2.18,Auditory,23.61,7,Other,Low,No,4.23,5.33
Christian Johnson,Female,12/13/2008,University of Peradeniya,1st,3.17,Kinesthetic,25.99,4,Bachelor's,Low,No,2.24,9.36
Lorraine Garcia,Male,4/8/1914,University of Colombo,1st,2.82,Kinesthetic,26.16,6,High School,Low,No,0.5,7.36
Hannah Reyes,Male,2/24/2013,University of Colombo,1st,2.51,Auditory,16.16,8,High School,Medium,Yes,2.52,9.04
Katherine Ibarra,Male,4/27/1985,University of Ruhuna,3rd,3.76,Kinesthetic,6.62,10,Bachelor's,Low,Yes,3.66,9.61
Julie Chen,Female,9/27/1996,University of Peradeniya,2nd,2.46,Auditory,14.21,1,High School,High,Yes,2.44,8.15
Caleb Fleming,Male,3/21/1986,University of Ruhuna,3rd,3.69,Auditory,7.98,4,Bachelor's,High,No,0.35,8.88
Rachel Martinez,Female,11/12/1995,University of Ruhuna,1st,2.61,Visual,21.74,9,High School,Low,No,1.14,6.54
Rebecca Stark,Male,10/19/1992,University of Ruhuna,1st,3.94,Visual,29.8,2,Master's,High,Yes,2.11,4.23
Melanie Patrick,Male,9/12/2011,Rajarata University,3rd,2.48,Kinesthetic,16.04,9,Bachelor's,High,No,4.1,7.68
Rachel Lopez,Male,8/20/1949,Rajarata University,1st,2.77,Visual,25.86,7,Bachelor's,High,No,0.91,4.71
Jill Sherman,Male,4/19/1952,University of Kelaniya,2nd,2.29,Visual,14.6,9,High School,High,No,1.59,10
Richard Jones,Female,3/24/1983,Sabaragamuwa University,4th,2.74,Kinesthetic,7.91,4,Ph.D.,Medium,No,2.43,4.42
Timothy Tucker,Male,5/23/1969,Eastern University,3rd,3.84,Kinesthetic,12.9,3,Ph.D.,High,Yes,1.41,5.85
Theresa Estrada,Female,8/8/1986,Sabaragamuwa University,1st,3.13,Kinesthetic,29.28,1,Other,High,Yes,5,8.72
Cindy Davis,Female,8/7/1950,University of Jaffna,3rd,3.34,Auditory,18.09,1,High School,Low,No,0.05,7.68
Stacy Chan,Female,6/18/1956,Eastern University,4th,2.49,Kinesthetic,19.85,8,High School,Low,No,0.74,7.82
Jennifer Torres,Female,5/19/1953,University of Kelaniya,1st,3.49,Kinesthetic,15.04,4,High School,Low,Yes,0.67,5.8
Jeffery Knight,Male,6/28/1912,University of Moratuwa,3rd,3.45,Auditory,21.27,9,Bachelor's,Low,Yes,0.58,7.6
Taylor Perry,Female,5/14/1993,Eastern University,1st,3.73,Auditory,27.57,7,High School,Low,No,4.12,8.85
Raymond Navarro,Male,11/22/1973,University of Colombo,2nd,2.48,Visual,17.79,6,Master's,Medium,Yes,2.53,5.48
Jeremy Parks,Male,8/30/2010,University of Moratuwa,4th,2.69,Auditory,14.86,5,Bachelor's,Low,Yes,2.13,9.11
Thomas Rivers,Female,6/28/1993,Sabaragamuwa University,4th,3.58,Kinesthetic,24.52,4,Bachelor's,Medium,Yes,3.2,4.31
Angela Jones,Male,1/9/1956,University of Moratuwa,3rd,2.16,Auditory,7.34,8,Bachelor's,Medium,No,3.73,4.34
Allen Bailey,Male,11/4/1997,Sabaragamuwa University,2nd,3.08,Kinesthetic,23.68,1,Other,Low,No,2.77,6.79
William Fuentes,Male,4/1/1915,University of Peradeniya,4th,3.39,Visual,6.64,2,Other,High,No,2.17,9.48
Steven Clark,Female,9/7/1981,University of Jaffna,1st,2.33,Visual,9.12,2,Master's,High,Yes,0.15,8.69
Michael Mays,Male,11/29/2015,University of Kelaniya,1st,2.56,Auditory,10.76,3,High School,Medium,Yes,2.36,7.56
Adam Wood,Female,4/27/2011,University of Kelaniya,3rd,2.56,Kinesthetic,22.87,7,Other,Medium,No,3.08,7.92
Larry Villarreal,Female,8/5/1944,University of Colombo,4th,2.86,Auditory,24.32,10,Other,Low,No,1.54,9.28
Brian Cooper,Male,6/9/1940,University of Jaffna,2nd,2.18,Kinesthetic,28.52,10,Master's,High,Yes,3.46,5.7
Beverly Levy,Male,2/4/1942,University of Jaffna,3rd,3.68,Auditory,22.11,3,Master's,Medium,No,2.91,7.35
John Carter,Female,9/29/2010,University of Colombo,1st,2.07,Visual,5.92,9,Master's,High,Yes,4.92,4.24
Tina Fields,Male,8/5/1947,Sabaragamuwa University,1st,3.94,Kinesthetic,8.27,10,High School,Medium,Yes,2.48,7.77
Willie Garcia,Female,11/4/1955,University of Colombo,1st,3.82,Auditory,21.03,8,Ph.D.,High,No,3.84,4.17
Brooke Hurst,Female,2/19/1946,Sabaragamuwa University,4th,3.41,Auditory,25.53,3,Bachelor's,Medium,No,0.44,6.08
Regina Stewart,Female,10/10/1938,University of Colombo,3rd,3.15,Kinesthetic,21.7,3,Ph.D.,High,Yes,2.06,4.39
Paul Carter,Female,10/28/2008,Eastern University,1st,3.49,Kinesthetic,27.17,5,High School,Low,Yes,1.7,4.67
Angel Anderson,Female,5/11/1959,Eastern University,3rd,3.71,Kinesthetic,10.62,10,Other,Medium,Yes,2.54,9.46
Blake Jones,Male,11/11/1969,University of Peradeniya,1st,3.59,Auditory,21.54,8,High School,Low,Yes,3.31,9.05
Juan Yang,Female,6/13/1954,Rajarata University,2nd,2.18,Kinesthetic,27.44,7,High School,Medium,No,1.28,6.83
Jay Walsh,Male,10/17/1946,University of Colombo,3rd,3.22,Auditory,18.55,2,Ph.D.,Medium,No,3.49,9.99
Jeremy Wood,Female,9/16/1954,University of Jaffna,3rd,3.43,Visual,19.16,10,Bachelor's,Medium,Yes,1.04,6.91
Amy Ortiz,Female,9/13/2011,Eastern University,3rd,3.15,Auditory,12.05,4,High School,Low,No,1.95,5.27
Nicholas Flores,Male,5/29/1940,University of Ruhuna,1st,3.08,Visual,21,5,Other,Medium,Yes,4.83,9.09
Edward Ruiz,Female,9/17/1988,Sabaragamuwa University,2nd,2.65,Kinesthetic,14.37,9,Other,Low,Yes,4.89,9.89
Rebecca Hill,Female,9/21/1932,Eastern University,4th,3.99,Kinesthetic,12.63,8,Master's,Medium,Yes,0.37,7.24
Melissa Flynn,Female,5/12/2013,Eastern University,3rd,3.98,Visual,26.28,8,Master's,High,No,0.19,9.51
James Saunders,Male,1/21/1962,Sabaragamuwa University,1st,3.55,Kinesthetic,28.23,7,Master's,Low,No,4.7,6.64
David Chavez,Female,7/20/1942,University of Kelaniya,2nd,2.6,Kinesthetic,17.73,1,Other,Medium,Yes,1,4.89
Brenda Ford,Female,8/10/1957,University of Moratuwa,3rd,2.03,Visual,12.88,2,High School,High,Yes,4.36,8.65
Karen Harris,Male,9/14/1993,Sabaragamuwa University,2nd,2.15,Visual,28.3,4,Ph.D.,High,No,0.05,6.03
Michael Montgomery,Female,3/28/2007,University of Peradeniya,2nd,2.14,Kinesthetic,12.25,2,Ph.D.,Medium,Yes,1.11,9.93
Edwin Mack,Male,2/25/2002,Sabaragamuwa University,1st,2.96,Auditory,26.18,1,Ph.D.,High,Yes,2.48,5.19
Kimberly Moore,Female,12/13/1922,Sabaragamuwa University,3rd,2.73,Kinesthetic,12.49,10,Ph.D.,Medium,No,1.43,6.51
Kaitlin Gregory,Male,2/6/2020,Rajarata University,3rd,2.11,Kinesthetic,24.03,9,Master's,Low,Yes,0.91,7.3
Crystal Gill,Female,4/6/1963,Sabaragamuwa University,1st,2.45,Visual,20.71,7,Ph.D.,Low,No,4.12,8.14
William Martinez,Male,3/22/2018,University of Moratuwa,2nd,2.93,Auditory,28.09,3,Bachelor's,Medium,No,4.13,8.25
Amanda Scott,Female,9/16/1927,University of Moratuwa,1st,3.5,Visual,9.48,5,Other,Low,No,4.73,9.92
Lauren Foster,Male,1/14/2017,University of Ruhuna,2nd,2.41,Visual,17.38,6,High School,Low,No,0.21,5.25
David Campbell,Female,4/11/1930,University of Kelaniya,1st,3.29,Visual,28.15,4,Ph.D.,Low,Yes,2.7,8.37
Susan Larson,Male,9/28/2008,Sabaragamuwa University,3rd,2.35,Visual,21.74,2,Master's,Low,Yes,3.84,7.88
Ricky Torres,Male,4/17/1939,Rajarata University,3rd,2.13,Kinesthetic,15.84,2,High School,Medium,Yes,2.36,4.75
Joseph Wright,Female,6/11/2005,Rajarata University,3rd,2.33,Kinesthetic,12.9,6,Ph.D.,Low,No,3.11,7.22
Carla Perry,Female,11/23/1926,University of Jaffna,3rd,3.32,Kinesthetic,23.75,8,Master's,High,No,4.51,9.97
Joseph Berry,Male,1/17/2007,University of Kelaniya,2nd,3.65,Auditory,15.23,2,High School,High,Yes,4.23,8.36
Kim Jenkins,Female,8/11/1984,Rajarata University,3rd,2.77,Auditory,19.01,9,Bachelor's,Low,Yes,1.35,7.06
Jennifer Osborne,Female,12/22/1921,University of Moratuwa,1st,2.2,Visual,6.9,3,Ph.D.,Low,Yes,2.03,8.08
Ebony Watson,Male,7/26/2016,University of Jaffna,4th,3.89,Visual,29.24,7,Master's,Medium,Yes,0.36,5.23
Brooke Terry,Female,3/29/1958,University of Colombo,1st,3.05,Visual,29.98,6,Master's,Low,Yes,1.12,6.38
Kevin Taylor,Female,3/14/1929,Rajarata University,4th,3.21,Visual,10.31,3,Ph.D.,High,No,3.33,9.52
Heather Kennedy,Male,10/4/2005,University of Peradeniya,4th,2.16,Auditory,19.79,3,Bachelor's,Medium,No,4.19,7.03
